Number,Distance,Text
1,897.0207589455903,V. Rettifilo
2,954.3177023241026,V. Rettifilo
3,1476.1033337176145,C. Biassono
4,2120.274591142936,V. Roggia
5,2172.4411716764166,V. Roggia
6,2541.4717528235174,C. Lesmo
7,2870.3888158931445,C. Lesmo
8,3920.563244018419,V. Ascari
9,4015.9655213087585,V. Ascari
10,4113.583815025994,V. Ascari
11,5204.215456851723,C. Parabolica
